"","Plate","Repeat","End.time","Start.temp.","End.temp.","BarCode","X","X.1","X.2","X.3","X.4","X."
"1","1",1,"3:28:31 PM",25.3,25.4,"N/A",NA,NA,NA,NA,NA,NA
"2","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"3","Absorbance @ 490 (1.0s) (A)",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"4","0.000",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"5","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"6","0.284",0.291,"0.309",0.233,0.098,"0.072",0.183,0.192,0.192,0.156,0.111,0.082
"7","0.310",0.29,"0.305",0.22,0.098,"0.074",0.186,0.177,0.177,0.155,0.11,0.08
"8","0.307",0.31,"0.290",0.21,0.095,"0.075",0.175,0.166,0.166,0.148,0.108,0.081
"9","0.305",0.302,"0.283",0.204,0.096,"0.072",0.184,0.194,0.194,0.145,0.098,0.08
"10","0.101",0.094,"0.086",0.083,0.073,"0.072",0.183,0.192,0.192,0.156,0.111,0.082
"11","0.101",0.097,"0.089",0.081,0.077,"0.068",0.186,0.177,0.177,0.155,0.11,0.08
"12","0.103",0.096,"0.091",0.079,0.073,"0.068",0.175,0.166,0.166,0.148,0.108,0.081
"13","0.109",0.093,"0.090",0.081,0.073,"0.068",0.184,0.194,0.194,0.145,0.098,0.08
"14","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"15","0.215979295115625",0.223342352359683,"0.241171785478064",0.1648170116279,0.0300863363005166,"0.00404507544079186",0.115446368775588,0.124351234596329,0.124351234596329,NA,NA,NA
"16","0.241862804834201",0.221604524542341,"0.236986029335239",0.152415334636253,0.0304641432196958,"0.00558344303915807",0.117661175713105,0.108603262139062,0.108603262139062,NA,NA,NA
"17","0.238753573585207",0.24211153021044,"0.221667037883172",0.141765315375222,0.0271677307401958,"0.00728442297762238",0.107495637896673,0.0982992198860119,0.0982992198860119,NA,NA,NA
"18","0.236534025478564",0.234123981581312,"0.215181009385128",0.136313747824571,0.0275762139264164,"0.0041368900808476",0.116087192238524,0.126315669800958,0.126315669800958,NA,NA,NA
"19","0.0325234460359751",0.0262681543565087,"0.0178748988557151",0.0148752591406134,0.00516221996803244,"0.00377874102831093",0.115446368775588,0.124351234596329,0.124351234596329,NA,NA,NA
"20","0.0328229559385863",0.0292315185423736,"0.0205793390568245",0.0130640125618321,0.00868831265767953,"6.31787157013286e-05",0.117661175713105,0.108603262139062,0.108603262139062,NA,NA,NA
"21","0.0352747623581303",0.0284387206773841,"0.0228937746042833",0.0113085691192512,0.0048451849982409,"-0.000158022940180441",0.107495637896673,0.0982992198860119,0.0982992198860119,NA,NA,NA
"22","0.0405614535708965",0.0254315347867493,"0.0220415529711113",0.0130037457437269,0.00453801694512131,"-0.00044008226790021",0.116087192238524,0.126315669800958,0.126315669800958,NA,NA,NA
"23","0.134289039614648",0.128819039632099,"0.124799428446192",0.0809453745036712,NA,"",NA,NA,NA,NA,NA,NA
